antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', '糖化血红蛋白_High'})",frozenset({'葡萄糖_High'}),0.19143033292231812,0.6775585696670777,0.1658446362515413,0.8663446054750403,1.2786268881533351,1.0,0.036139373685802945,2.4124834727318656,0.2695018473979821,0.23586146427005697,0.5854893882992646,0.5555562881788304
"frozenset({'肌酐_Low', '糖化血红蛋白_High'})","frozenset({'Dept_内分泌代谢科', '葡萄糖_High'})",0.0752157829839704,0.6442663378545006,0.061960542540073986,0.8237704918032788,1.2786179308181036,1.0,0.013501545488132517,2.018581710779114,0.23562852404643467,0.09423347398030944,0.5046026649998582,0.4599713703035533
"frozenset({'总胆固醇_High', '氯_High', '葡萄糖_High'})","frozenset({'高密度脂蛋白_Low', '糖化血红蛋白_High'})",0.09247842170160296,0.4432799013563502,0.05240443896424168,0.5666666666666667,1.2783495595734815,1.0,0.01141061331476416,1.2847386891776533,0.23992966751918152,0.10841836734693878,0.22163159837578436,0.34244320815948076
"frozenset({'糖化血红蛋白_High', '氯_High', '钾_Low'})","frozenset({'Dept_内分泌代谢科', '葡萄糖_High'})",0.06288532675709001,0.6442663378545006,0.051787916152897656,0.823529411764706,1.2782437376864624,1.0,0.011273016978323641,2.015824085491164,0.2322838345864663,0.07902163687676388,0.503924966867163,0.4519560934421616
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', '氯_High', 'Dept_内分泌代谢科'})","frozenset({'葡萄糖_High', '糖化血红蛋白_High'})",0.15258939580764488,0.469482120838471,0.09155363748458693,0.6,1.2780039395929088,1.0,0.01991564432335291,1.3262946979038226,0.25669940584454953,0.1725740848343986,0.24601975595583958,0.3975049244911359
"frozenset({'总三碘甲状腺原氨酸_Low', '骨钙素(N-MID)_Low'})","frozenset({'Dept_内分泌代谢科', '葡萄糖_High'})",0.06103575832305795,0.6442663378545006,0.05024660912453761,0.8232323232323232,1.2777826107969648,1.0,0.010923324631568705,2.012436145851682,0.23152560533979996,0.07670588235294118,0.5030898237137404,0.4506113769271664
frozenset({'钾_Low'}),"frozenset({'高密度脂蛋白_Low', '葡萄糖_High'})",0.1439580764488286,0.4978421701602959,0.09155363748458693,0.6359743040685225,1.2774616980794347,1.0,0.019885236293200312,1.37945709726554,0.2537231636979567,0.16638655462184876,0.2750771285440682,0.4099376164305461
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})",frozenset({'葡萄糖_High'}),0.18341553637484587,0.6775585696670777,0.15875462392108508,0.865546218487395,1.277448559041451,1.0,0.03447985544022465,2.39815813810111,0.26597323774862835,0.22607550482879718,0.5830133200507737,0.5499250655676283
"frozenset({'Dept_内分泌代谢科', '尿酸_High'})",frozenset({'高密度脂蛋白_Low'}),0.12299630086313193,0.6908138101109741,0.10850801479654747,0.8822055137844611,1.2770525152685372,1.0,0.023540471567731605,2.624793399270666,0.2473727831922032,0.15384615384615383,0.6190176338153458,0.5196391245852248
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科'})","frozenset({'葡萄糖_High', '糖化血红蛋白_High'})",0.26479654747225645,0.469482120838471,0.15875462392108508,0.5995343422584402,1.277012085545883,1.0,0.03443737922310525,1.3247524947667255,0.2950503755266533,0.27584359935725766,0.24514201411178374,0.4688413667956679
frozenset({'总三碘甲状腺原氨酸_Low'}),"frozenset({'Dept_内分泌代谢科', '葡萄糖_High', '糖化血红蛋白_High'})",0.1159062885326757,0.44790382244143034,0.06627620221948212,0.5718085106382979,1.276632352725835,1.0,0.014361332540697345,1.2893674705715663,0.24509746683532804,0.1332094175960347,0.22442591206624132,0.3598891142317435
"frozenset({'氯_High', 'Dept_内分泌代谢科', '钾_Low'})","frozenset({'高密度脂蛋白_Low', '葡萄糖_High'})",0.09556103575832306,0.4978421701602959,0.060727496917385944,0.635483870967742,1.276476580445421,1.0,0.01315318349269675,1.3776011261089227,0.23947833729528475,0.11400462962962965,0.27410047723717307,0.3787326475581744
"frozenset({'低密度脂蛋白_High', '骨钙素(N-MID)_Low', '糖化血红蛋白_High'})","frozenset({'Dept_内分泌代谢科', '葡萄糖_High'})",0.09155363748458693,0.6442663378545006,0.0752157829839704,0.8215488215488215,1.2751695584231468,1.0,0.016230856244517047,1.9934508991927034,0.23753803534575305,0.11385907606159588,0.4983573458443474,0.46914761651603754
"frozenset({'低密度脂蛋白_High', '氯_High', '糖化血红蛋白_High'})","frozenset({'高密度脂蛋白_Low', '葡萄糖_High'})",0.13840937114673244,0.4978421701602959,0.08785450061652281,0.6347438752783964,1.2749901742434167,1.0,0.018948478914311687,1.3748101560855308,0.2503279666070363,0.16020236087689713,0.2726268455513308,0.4056072317568452
"frozenset({'总胆固醇_High', '高密度脂蛋白_Low', '氯_High', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.06966707768187423,0.5900123304562269,0.05240443896424168,0.7522123893805309,1.2749096087515372,1.0,0.011300004105084069,1.6545930949445125,0.2317779596928234,0.08629441624365482,0.39562179785747537,0.42051580806539607
"frozenset({'低密度脂蛋白_High', '葡萄糖_High'})","frozenset({'高密度脂蛋白_Low', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.2746609124537608,0.4226263871763255,0.14796547472256474,0.5387205387205387,1.2746968837413768,1.0,0.0318865255936788,1.251678562106798,0.29710210369740775,0.26936026936026936,0.20107283908672058,0.4444149739554554
"frozenset({'高密度脂蛋白_Low', 'Dept_内分泌代谢科', '钾_Low'})","frozenset({'葡萄糖_High', '糖化血红蛋白_High'})",0.10974106041923551,0.469482120838471,0.0656596794081381,0.5983146067415731,1.2744140408861873,1.0,0.014138213619452632,1.320729825045485,0.24186857061110903,0.12785114045618248,0.24284287290509188,0.3690850775007931
"frozenset({'葡萄糖_High', '尿酸_High'})","frozenset({'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.0906288532675709,0.563193588162762,0.06504315659679408,0.7176870748299319,1.2743168422267648,1.0,0.01400156753395436,1.547241988917445,0.2367194152140733,0.11047120418848168,0.3536886878957651,0.4165884744702478
"frozenset({'葡萄糖_High', '尿酸_High'})",frozenset({'糖化血红蛋白_High'}),0.0906288532675709,0.5900123304562269,0.06812577065351418,0.7517006802721088,1.2740423233034068,1.0,0.014653629730539228,1.6511832170667022,0.2365334764935959,0.11122294916960242,0.394373689325354,0.4335828375237242
"frozenset({'总胆固醇_High', '骨钙素(N-MID)_Low', '糖化血红蛋白_High'})",frozenset({'葡萄糖_High'}),0.06535141800246609,0.6775585696670777,0.056411837237977804,0.8632075471698113,1.2739969440486205,1.0,0.012132423930511567,2.357158042433776,0.2301065501679715,0.08217332734620565,0.5757603088134491,0.47323252699709856
"frozenset({'高密度脂蛋白_Low', '葡萄糖_High', '钾_Low'})","frozenset({'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.09155363748458693,0.563193588162762,0.0656596794081381,0.7171717171717172,1.2734017791489058,1.0,0.014097257803840843,1.5444226704245205,0.23633965312062402,0.11145996860282577,0.35250885709601326,0.41687814101607207
"frozenset({'尿素_High', '糖化血红蛋白_High'})","frozenset({'氯_High', 'Dept_内分泌代谢科'})",0.07706535141800247,0.5403822441430333,0.0530209617755857,0.688,1.2731728465487735,1.0,0.011376214230654033,1.473133832874893,0.232476581069115,0.09393773894046971,0.32117505030181076,0.3930587564175699
"frozenset({'尿素_High', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})",frozenset({'氯_High'}),0.07336621454993834,0.5678175092478421,0.0530209617755857,0.7226890756302522,1.2727488389492607,1.0,0.01136234056689691,1.5584762545305093,0.23126614987080107,0.09014675052410903,0.3583476186480301,0.4080329200083943
"frozenset({'Dept_内分泌代谢科', '葡萄糖_High', '尿酸_High'})",frozenset({'糖化血红蛋白_High'}),0.08662145499383476,0.5900123304562269,0.06504315659679408,0.7508896797153025,1.2726677748152775,1.0,0.013935430068372452,1.6458076448828607,0.23456756553576252,0.10635080645161288,0.3923955796965724,0.43056500704678397
"frozenset({'总胆固醇_High', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科'})","frozenset({'葡萄糖_High', '糖化血红蛋白_High'})",0.08785450061652281,0.469482120838471,0.05240443896424168,0.5964912280701755,1.2705302323438277,1.0,0.011158321689591792,1.3147617005307461,0.23343538158757937,0.10378510378510378,0.2394058941659787,0.3540565135754686
"frozenset({'高密度脂蛋白_Low', '氯_High', '葡萄糖_High'})",frozenset({'糖化血红蛋白_High'}),0.28298397040690504,0.5900123304562269,0.2120838471023428,0.7494553376906319,1.2702367374443102,1.0,0.0451198152408088,1.636385568005147,0.2967090923633746,0.32089552238805974,0.3888970792995562,0.5544559865046681
"frozenset({'总胆固醇_High', '低密度脂蛋白_High', '氯_High', '葡萄糖_High'})","frozenset({'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.08230579531442664,0.563193588162762,0.05887792848335388,0.7153558052434457,1.2701774670004038,1.0,0.012523832293632096,1.5345698942176649,0.2317857500874944,0.10036784025223333,0.34835161059261666,0.4099493859276889
"frozenset({'高密度脂蛋白_Low', '骨钙素(N-MID)_Low', '氯_High', '糖化血红蛋白_High'})","frozenset({'Dept_内分泌代谢科', '葡萄糖_High'})",0.11189889025893958,0.6442663378545006,0.09155363748458693,0.8181818181818182,1.2699434536755112,1.0,0.01946094924747728,1.9565351418002472,0.23934590612827344,0.1377551020408163,0.48889239010556185,0.4801435406698565
"frozenset({'总三碘甲状腺原氨酸_Low', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})",frozenset({'葡萄糖_High'}),0.07706535141800247,0.6775585696670777,0.06627620221948212,0.86,1.26926296633303,1.0,0.014059912941809666,2.3031530738065875,0.22985505895511943,0.09628302731751007,0.565812619502868,0.4789080982711556
